year,state,office,party,norm_vote_count
2020,AL,House,REP,0.09339216462208151
2020,AL,House,DEM,0.048184329244163035
2020,AK,House,REP,0.5016344647519583
2020,AZ,House,DEM,0.046682654289152484
2020,AZ,House,REP,0.04694619219528967
2020,AR,House,REP,0.15214290962527555
2020,AR,House,DEM,0.08094170952730835
2020,CA,House,REP,0.006812021312825616
2020,CA,House,DEM,0.01026260948465826
2020,CO,House,DEM,0.08014185480406663
2020,CO,House,REP,0.0657843539687843
2020,CT,House,DEM,0.11020121621621622
2020,CT,House,REP,0.07638054054054054
2020,DE,House,DEM,0.5191549815498155
2020,DE,House,REP,0.3623468634686347
2020,DC,House,DEM,0.6073943965517241
2020,FL,House,REP,0.020043112104665226
2020,FL,House,DEM,0.01883672987136732
2020,GA,House,REP,0.033993011383800606
2020,GA,House,DEM,0.032664805765608367
2020,HI,House,DEM,0.2635676077265973
2020,HI,House,REP,0.11531575037147102
2020,ID,House,REP,0.3118916666666667
2020,ID,House,DEM,0.14196166666666665
2020,IL,House,DEM,0.02828770021918732
2020,IL,House,REP,0.021573944479157368
2020,IN,House,DEM,0.03891171681646476
2020,IN,House,REP,0.056621890061221834
2020,IA,House,REP,0.12333783008036739
2020,IA,House,DEM,0.10939595292766935
2020,KS,House,REP,0.1387514306151645
2020,KS,House,DEM,0.09965271816881259
2020,KY,House,REP,0.09278666666666667
2020,KY,House,DEM,0.05002850340136054
2020,LA,House,REP,0.045357757363662876
2020,LA,House,DEM,0.026516550014581513
2020,ME,House,DEM,0.2818377403846154
2020,ME,House,REP,0.19832692307692307
2020,MD,House,REP,0.03798958025421224
2020,MD,House,DEM,0.07067469701448419
2020,MA,House,DEM,0.0777901861252115
2020,MA,House,REP,0.039424760293288216
2020,MI,House,REP,0.03391828405586795
2020,MI,House,DEM,0.03483360109870177
2020,MN,House,REP,0.05365323050058207
2020,MS,House,REP,0.11532761578044597
2020,MS,House,DEM,0.08023899371069182
2020,MO,House,DEM,0.04324583087367178
2020,MO,House,REP,0.06360618358913814
2020,MT,House,REP,0.5291248049921997
2020,MT,House,DEM,0.40926677067082684
2020,NE,House,REP,0.2009042224510814
2020,NE,House,DEM,0.11191829728801922
2020,NV,House,DEM,0.11435154639175257
2020,NV,House,REP,0.10890498281786942
2020,NH,House,DEM,0.24548932384341637
2020,NH,House,REP,0.20999110320284697
2020,NJ,House,DEM,0.042252179845580405
